epoch,global_step,train_steps,replay_size,epsilon,train_avg_reward,train_hit_rate,train_invalid_action_rate,loss,eval_steps,eval_avg_reward,eval_hit_rate,eval_invalid_action_rate
1,134475,133476,50000,0.050000000000000044,0.23031790295593976,0.23031790295593976,0.0,2.651936405046717,28816.0,0.21817740144364242,0.21817740144364242,0.0
2,268950,267951,50000,0.050000000000000044,0.24864101134039784,0.24864101134039784,0.0,2.567808340205249,28816.0,0.221682398667407,0.221682398667407,0.0
3,403425,402426,50000,0.050000000000000044,0.24870793827849041,0.24870793827849041,0.0,2.5667783573166236,28816.0,0.21810799555802332,0.21810799555802332,0.0
4,537900,536901,50000,0.050000000000000044,0.2483733035880275,0.2483733035880275,0.0,2.565738710544215,28816.0,0.22050249861188229,0.22050249861188229,0.0
5,672375,671376,50000,0.050000000000000044,0.2471611823759063,0.2471611823759063,0.0,2.569132416523573,28816.0,0.22081482509716824,0.22081482509716824,0.0
