epoch,global_step,train_steps,replay_size,epsilon,train_avg_reward,train_hit_rate,train_invalid_action_rate,loss,eval_steps,eval_avg_reward,eval_hit_rate,eval_invalid_action_rate
1,134475,133476,50000,0.050000000000000044,0.24571109871723368,0.24571109871723368,0.0,2.5824591785686297,28816.0,0.19218489727928928,0.19218489727928928,0.0
2,268950,267951,50000,0.050000000000000044,0.286395240751069,0.286395240751069,0.0,2.424652279843892,28816.0,0.18229455857856747,0.18229455857856747,0.0
3,403425,402426,50000,0.050000000000000044,0.29702918758133484,0.29702918758133484,0.0,2.3924288706984256,28816.0,0.16681704608550804,0.16681704608550804,0.0
4,537900,536901,50000,0.050000000000000044,0.30402677077523704,0.30402677077523704,0.0,2.369185114028308,28816.0,0.16383259300388672,0.16383259300388672,0.0
5,672375,671376,50000,0.050000000000000044,0.3080944413459751,0.3080944413459751,0.0,2.3532382933484906,28816.0,0.15873126041088284,0.15873126041088284,0.0
