epoch,global_step,train_steps,replay_size,epsilon,train_avg_reward,train_hit_rate,train_invalid_action_rate,loss,eval_steps,eval_avg_reward,eval_hit_rate,eval_invalid_action_rate
1,134475,133476,50000,0.050000000000000044,0.048246886038297083,0.048246886038297083,0.0,0.03308815097493097,28816.0,0.04726540810660744,0.04726540810660744,0.0
2,268950,267951,50000,0.050000000000000044,0.04876742889012828,0.04876742889012828,0.0,0.023885068059875107,28816.0,0.048132981676846195,0.048132981676846195,0.0
3,403425,402426,50000,0.050000000000000044,0.04797174195947202,0.04797174195947202,0.0,0.023784777194789174,28816.0,0.04837590227651305,0.04837590227651305,0.0
4,537900,536901,50000,0.050000000000000044,0.04741401747536717,0.04741401747536717,0.0,0.02313845004610576,28816.0,0.048098278734036645,0.048098278734036645,0.0
5,672375,671376,50000,0.050000000000000044,0.04864844766685258,0.04864844766685258,0.0,0.023699200879662485,28816.0,0.04851471404775125,0.04851471404775125,0.0
