epoch,global_step,train_steps,replay_size,epsilon,train_avg_reward,train_hit_rate,train_invalid_action_rate,loss,eval_steps,eval_avg_reward,eval_hit_rate,eval_invalid_action_rate
1,134475,133476,50000,0.050000000000000044,0.23493586168432795,0.23493586168432795,0.0,2.654616108814211,28816.0,0.20873820099944476,0.20873820099944476,0.0
2,268950,267951,50000,0.050000000000000044,0.2595872838817624,0.2595872838817624,0.0,2.5393318655322887,28816.0,0.1971821210438645,0.1971821210438645,0.0
3,403425,402426,50000,0.050000000000000044,0.2673879903327756,0.2673879903327756,0.0,2.5129538635446096,28816.0,0.1962104386451971,0.1962104386451971,0.0
4,537900,536901,50000,0.050000000000000044,0.2739542665923034,0.2739542665923034,0.0,2.4894105215998117,28816.0,0.1854872293170461,0.1854872293170461,0.0
5,672375,671376,50000,0.050000000000000044,0.27913738613125116,0.27913738613125116,0.0,2.4732159538467613,28816.0,0.18507079400333148,0.18507079400333148,0.0
